trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
220,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,0,25.637693020261054,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.331210882241981}",35,15,17.816810534026686,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,14,0.07317025273815636,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.32791527889958855}",20,7,12.866365401083836,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,8,-0.273699067512426,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.32465246735834974}",20,16,7.943970166082063,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.3230332564222529}",30,12,-34.411514136389776,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
227,False,"{'a': 0.5, 'e': 0.32142212133439135}",25,0,-37.06062594677355,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",1
228,False,"{'a': 0.5, 'e': 0.31981902181630384}",25,12,13.64965722081211,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.3182239177904191}",20,12,-44.752789668662544,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
230,False,"{'a': 0.5, 'e': 0.31663676937905316}",35,26,15.829271113710007,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.3150575369034133}",30,23,-0.11524558128030726,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,3,-0.6587134608976135,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.31192266203264674}",20,3,25.860207047817386,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,2,-12.112370012289146,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
235,False,"{'a': 0.5, 'e': 0.30881897968801986}",25,0,-12.05613172354012,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
236,False,"{'a': 0.5, 'e': 0.30727873860113125}",25,13,-11.640405123807762,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.30574617949871175}",20,2,9.414512163091592,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.3042212640667041}",30,13,15.620391280141297,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.30270395418214285}",25,11,7.547181122407822,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
